arm_id,state_index,year,dp_gap,tpr_gap,fpr_gap,equalized_odds_max_gap
D6_ARM_002,6,2024,0.005904688915209363,0.03177966101694915,0.008032128514056224,0.03177966101694915
D6_ARM_002,7,2022,0.02535683248624022,0.08,0.01697159077356105,0.08
D6_ARM_002,7,2023,0.009259259259259259,0.1111111111111111,0.006147540983606557,0.1111111111111111
D6_ARM_002,7,2024,0.005358969778658308,0.029661016949152543,0.008032128514056224,0.029661016949152543
D6_ARM_002,8,2022,0.030791615094935873,0.08,0.02326089894966168,0.08
D6_ARM_002,8,2023,0.009259259259259259,0.1111111111111111,0.006147540983606557,0.1111111111111111
D6_ARM_002,8,2024,0.005022033537700363,0.029661016949152543,0.008032128514056224,0.029661016949152543
D6_ARM_002,9,2022,0.030791615094935873,0.08,0.02326089894966168,0.08
D6_ARM_002,9,2023,0.009259259259259259,0.1111111111111111,0.006147540983606557,0.1111111111111111
D6_ARM_002,9,2024,0.0050682698979740825,0.029661016949152543,0.008032128514056224,0.029661016949152543
D6_ARM_002,10,2022,0.030791615094935873,0.08,0.02326089894966168,0.08
D6_ARM_002,10,2023,0.009259259259259259,0.1111111111111111,0.006147540983606557,0.1111111111111111
D6_ARM_002,10,2024,0.007518796992481203,0.0410958904109589,0.008032128514056224,0.0410958904109589
D6_ARM_002,11,2022,0.010869565217391304,0.007827788649706457,0.012578616352201259,0.012578616352201259
D6_ARM_002,11,2023,0.0051813471502590676,0.1111111111111111,0.000878204072671387,0.1111111111111111
D6_ARM_002,11,2024,0.0037593984962406013,0.0136986301369863,0.004016064257028112,0.0136986301369863
D6_ARM_002,12,2022,0.010869565217391304,0.005870841487279843,0.012578616352201259,0.012578616352201259
D6_ARM_002,12,2023,0.0051813471502590676,0.1111111111111111,0.0006293266205160479,0.1111111111111111
D6_ARM_002,12,2024,0.0037593984962406013,0.0136986301369863,0.004016064257028112,0.0136986301369863
D6_ARM_003,0,2022,0.012156457124463931,0.06294620984111429,0.005387227342450859,0.06294620984111429
D6_ARM_003,0,2023,0.008698523207611003,0.036090374697969635,0.004814584089574935,0.036090374697969635
D6_ARM_003,0,2024,0.013106438960193386,0.053660614979933435,0.007172901683500703,0.053660614979933435
D6_ARM_003,1,2022,0.011805086780120991,0.06363302302792748,0.004949084224411442,0.06363302302792748
D6_ARM_003,1,2023,0.008736750968611042,0.03893937754697248,0.004494518866543765,0.03893937754697248
D6_ARM_003,1,2024,0.01256662789406653,0.05189606830666955,0.0068282759967856375,0.05189606830666955
D6_ARM_003,2,2022,0.01075097574709218,0.053392069713725766,0.004992282634709943,0.053392069713725766
D6_ARM_003,2,2023,0.007341247960987167,0.028493634822748748,0.004133768505793405,0.028493634822748748
