arm_id,year,state_index,preceding_state_index,pathwise_marginal_delta_d_phi,cumulative_delta_from_baseline_d_phi,pathwise_marginal_delta_auroc,cumulative_delta_from_baseline_auroc,pathwise_marginal_delta_auprc,cumulative_delta_from_baseline_auprc,pathwise_marginal_delta_ks_statistic,cumulative_delta_from_baseline_ks_statistic,pathwise_marginal_delta_selection_rate,cumulative_delta_from_baseline_selection_rate,pathwise_marginal_delta_count_predicted_positive,cumulative_delta_from_baseline_count_predicted_positive
D6_ARM_002,2022,10,9,-2.0491738419441564e-05,-0.002897787959967066,-0.0016101133969117498,0.004538219240188601,-0.0012756024158884771,0.001961041343105152,-0.001980205860633355,0.009644247959310848,7.285178304739046e-05,0.00010927767457108526,2.0,3.0
D6_ARM_002,2022,11,10,-2.9445856922758352e-05,-0.0029272338168898245,-0.024186743588880733,-0.01964852434869213,-0.03634717756551892,-0.034386136222413766,-0.04380250208374986,-0.034158254124439014,-0.0028776454303719085,-0.0027683677558008233,-79.0,-76.0
D6_ARM_002,2022,12,11,-0.00040705198449765816,-0.0033342858013874826,-0.0006126521731381063,-0.020261176521830238,-5.6238491788818123e-05,-0.034442374714202584,-0.0008796295379718266,-0.03503788366241084,-0.0001821294576184753,-0.0029504972134192986,-5.0,-81.0
D6_ARM_002,2023,1,0,-0.0020414649340195342,-0.0020414649340195342,-0.0003718425334769959,-0.0003718425334769959,0.0003928760711189305,0.0003928760711189305,0.00030836830584990427,0.00030836830584990427,0.0,0.0,0.0,0.0
D6_ARM_002,2023,2,1,0.0001510083024968173,-0.001890456631522717,0.008321778909675448,0.007949936376198452,0.008079014965854003,0.008471891036972934,0.01608062993394971,0.016388998239799613,-0.00013659802615852232,-0.00013659802615852232,-4.0,-4.0
D6_ARM_002,2023,3,2,0.0006001527470932909,-0.001290303884429426,-0.000206724341341058,0.007743212034857394,0.0010553460706122508,0.009527237107585185,-0.0016693011863366247,0.014719697053462988,-3.4149506539630364e-05,-0.0001707475326981527,-1.0,-5.0
D6_ARM_002,2023,4,3,-0.0018836811134779596,-0.0031739849979073856,0.00013998410200166678,0.00788319613685906,-0.0007458729801343988,0.008781364127450786,0.0028091298072472903,0.017528826860710278,0.00034149506539630494,0.00017074753269815226,10.0,5.0
D6_ARM_002,2023,5,4,0.00029581819944007014,-0.0028781667984673154,-0.00014798346402178364,0.007735212672837277,0.0002349893459154817,0.009016353473366268,-0.001938572018644391,0.015590254842065887,-0.00017074753269815226,0.0,-5.0,0.0
D6_ARM_002,2023,6,5,-0.0007497446257544046,-0.00362791142422172,-0.0009100339301696403,0.006825178742667637,-0.00023138832563168732,0.00878496514773458,-0.0020482532119757146,0.013542001630090172,0.0,0.0,0.0,0.0
D6_ARM_002,2023,7,6,0.00015289982000289692,-0.003475011604218823,-0.0009317032078784981,0.005893475534789139,-0.0019714284118109715,0.006813536735923609,0.000853290526680206,0.014395292156770378,-0.0001707475326981527,-0.0001707475326981527,-5.0,-5.0
D6_ARM_002,2023,8,7,0.00022083410796819693,-0.003254177496250626,-0.0005188509273352793,0.0053746246074538595,-0.0017101626735972486,0.00510337406232636,-0.0036237583286138353,0.010771533828156543,-0.00010244851961889153,-0.0002731960523170442,-3.0,-8.0
D6_ARM_002,2023,9,8,0.0001033656760795771,-0.003150811820171049,4.976644513576822e-05,0.005424391052589628,0.00047022177139066645,0.005573595833717027,0.000904940845238511,0.011676474673395054,3.4149506539630364e-05,-0.00023904654577741385,1.0,-7.0
