record_type,year,arm_id,feature,transform_family,transform_type,original_cardinality,terminal_cardinality,cardinality_reduction,nmi_y_before,nmi_y_after,delta_nmi_y,nmi_a_before,nmi_a_after,delta_nmi_a,post_state,category,state,n,outcome_positive_count,outcome_prevalence
category_state,2022,D6_ARM_002,hypev_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,2,before,17327.0,1188.0,0.06856351359150459
category_state,2022,D6_ARM_002,hypev_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,after,44.0,3.0,0.06818181818181818
category_state,2022,D6_ARM_002,hypev_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,1,after,27409.0,1767.0,0.06446787551534168
feature_summary,2022,D6_ARM_002,notcov_a,Family_I,categorical_merge,3.0,2.0,1.0,0.06335536262878179,0.00012093658037976504,-0.06323442604840203,0.028625389620076304,0.0004265784384419724,-0.02819881118163433,merged_categories,,,,,
category_state,2022,D6_ARM_002,notcov_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,before,75.0,3.0,0.04
category_state,2022,D6_ARM_002,notcov_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,1,before,2065.0,541.0,0.2619854721549637
category_state,2022,D6_ARM_002,notcov_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,2,before,25313.0,1226.0,0.048433611187927154
category_state,2022,D6_ARM_002,notcov_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,after,75.0,3.0,0.04
category_state,2022,D6_ARM_002,notcov_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,2,after,27378.0,1767.0,0.06454087223317992
feature_summary,2022,D6_ARM_002,pcnt18uptc,Family_I,feature_drop,3.0,1.0,2.0,0.0006578117783156987,0.0,-0.0006578117783156987,0.01910336428481478,0.0,-0.01910336428481478,dropped_constant_equivalent,,,,,
category_state,2022,D6_ARM_002,pcnt18uptc,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,1.0,before,9853.0,706.0,0.0716533035623668
category_state,2022,D6_ARM_002,pcnt18uptc,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,2.0,before,13578.0,754.0,0.05553100603918103
category_state,2022,D6_ARM_002,pcnt18uptc,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,3.0,before,4022.0,310.0,0.07707608155146693
category_state,2022,D6_ARM_002,pcnt18uptc,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,dropped_constant_equivalent,after,27453.0,1770.0,0.06447382799694022
feature_summary,2022,D6_ARM_002,region,Family_I,feature_drop,4.0,1.0,3.0,0.0014000587893364036,0.0,-0.0014000587893364036,0.04130501512843577,0.0,-0.04130501512843577,dropped_constant_equivalent,,,,,
category_state,2022,D6_ARM_002,region,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,1,before,4563.0,210.0,0.04602235371466141
category_state,2022,D6_ARM_002,region,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,2,before,5990.0,338.0,0.05642737896494157
category_state,2022,D6_ARM_002,region,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,3,before,10087.0,779.0,0.07722811539605433
category_state,2022,D6_ARM_002,region,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,4,before,6813.0,443.0,0.06502275062380743
category_state,2022,D6_ARM_002,region,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,dropped_constant_equivalent,after,27453.0,1770.0,0.06447382799694022
feature_summary,2022,D6_ARM_003,cogmemdff_a,Family_I,categorical_merge,5.0,4.0,1.0,0.009061739368663425,0.006664365187021869,-0.0023973741816415567,0.16591979894123363,0.023154669203235775,-0.14276512973799785,merged_categories,,,,,
category_state,2022,D6_ARM_003,cogmemdff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,before,9.0,1.0,0.1111111111111111
category_state,2022,D6_ARM_003,cogmemdff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,1,before,21636.0,1147.0,0.05301349602514328
category_state,2022,D6_ARM_003,cogmemdff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,2,before,5090.0,521.0,0.10235756385068762
category_state,2022,D6_ARM_003,cogmemdff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,3,before,696.0,100.0,0.14367816091954022
category_state,2022,D6_ARM_003,cogmemdff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,4,before,20.0,1.0,0.05
category_state,2022,D6_ARM_003,cogmemdff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,after,9.0,1.0,0.1111111111111111
category_state,2022,D6_ARM_003,cogmemdff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,1,after,22332.0,1247.0,0.05583915457639262
category_state,2022,D6_ARM_003,cogmemdff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,2,after,5090.0,521.0,0.10235756385068762
category_state,2022,D6_ARM_003,cogmemdff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,4,after,20.0,1.0,0.05
feature_summary,2022,D6_ARM_003,diff_a,Family_I,categorical_merge,5.0,4.0,1.0,0.002292884723761982,0.0013202895894091915,-0.0009725951343527905,0.34032699910437897,0.062068156915691314,-0.2782588421886877,merged_categories,,,,,
category_state,2022,D6_ARM_003,diff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,before,2.0,0.0,0.0
category_state,2022,D6_ARM_003,diff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,1,before,21430.0,1254.0,0.058516098926738216
category_state,2022,D6_ARM_003,diff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,2,before,4295.0,354.0,0.08242142025611175
category_state,2022,D6_ARM_003,diff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,3,before,1425.0,140.0,0.09824561403508772
category_state,2022,D6_ARM_003,diff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,4,before,299.0,22.0,0.07357859531772576
category_state,2022,D6_ARM_003,diff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,after,2.0,0.0,0.0
category_state,2022,D6_ARM_003,diff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,1,after,22855.0,1394.0,0.06099321811419821
category_state,2022,D6_ARM_003,diff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,2,after,4295.0,354.0,0.08242142025611175
category_state,2022,D6_ARM_003,diff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,4,after,299.0,22.0,0.07357859531772576
feature_summary,2022,D6_ARM_003,empwrkft1_a,Family_I,categorical_merge,4.0,3.0,1.0,0.0015778298815520193,0.0007402131377237483,-0.000837616743828271,0.048014624661830915,0.003944177008012915,-0.044070447653818,merged_categories,,,,,
category_state,2022,D6_ARM_003,empwrkft1_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-2,before,1018.0,79.0,0.07760314341846758
